gene_id	symbol	BT549_rep1	BT549_rep2	HCC70_rep1	HCC70_rep2	HMEC_rep1	HMEC_rep2	MB231_rep1	MB231_rep2	MB231_rep3
ENSG00000005379	BZRAP1	1	3	30	13	3	7	0	0	0
ENSG00000005381	MPO	0	0	0	0	0	0	0	0	0
ENSG00000005421	PON1	0	0	0	0	0	0	0	0	0
ENSG00000005436	GCFC2	279	223	440	365	266	210	305	384	408
ENSG00000005448	WDR54	448	543	88	50	559	395	434	455	433
ENSG00000005469	CROT	106	103	21	6	712	660	49	68	62
ENSG00000005471	ABCB4	0	0	0	0	0	1	0	0	0
ENSG00000005483	KMT2E	1412	1551	2521	2083	1227	1281	1016	1299	1263
ENSG00000005486	RHBDD2	1347	1543	1902	1542	934	775	997	1312	1128
ENSG00000005513	SOX8	19	44	0	1	0	0	0	0	0
ENSG00000005700	IBTK	1787	1825	1094	927	1688	1514	1198	1479	1535
ENSG00000005801	ZNF195	216	189	223	239	472	363	511	560	562
ENSG00000005810	MYCBP2	2093	1769	2795	2244	2002	2446	1642	2363	2019
ENSG00000005812	FBXL3	882	806	1025	840	1194	893	966	1132	1128
ENSG00000005844	ITGAL	0	0	0	0	0	0	0	0	0
ENSG00000005882	PDK2	192	249	149	127	116	112	525	646	494
ENSG00000005884	ITGA3	7073	7488	4924	4818	44403	42318	3939	4979	4342
ENSG00000005889	ZFX	1449	1444	975	947	1291	1208	622	747	753
ENSG00000005893	LAMP2	9770	9930	9020	7891	8278	7695	969	1195	1119
ENSG00000005955	GGNBP2	1247	1132	1596	1417	1803	1450	1213	1406	1357
ENSG00000005961	ITGA2B	5	16	14	8	5	3	12	24	14
ENSG00000005981	ASB4	0	0	3	1	0	0	0	0	0
ENSG00000006007	GDE1	2683	2422	7869	6769	1813	1447	1460	1749	1656
ENSG00000006015	C19orf60	302	303	616	504	554	395	448	499	413
ENSG00000006016	CRLF1	11	11	58	62	74	70	42	57	44
ENSG00000006025	OSBPL7	42	51	654	587	70	105	172	186	163
ENSG00000006042	TMEM98	0	0	0	0	936	790	0	0	0
ENSG00000006047	YBX2	33	55	1977	1683	11	1	12	17	10
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	1542	1213	468	368	441	342	1051	1238	1016
ENSG00000006071	ABCC8	0	0	0	0	0	0	0	0	1
ENSG00000006074	CCL18	0	0	0	0	0	0	0	0	0
ENSG00000006075	CCL3	0	2	0	0	0	0	0	0	0
ENSG00000006114	SYNRG	763	715	634	565	743	674	388	441	469
ENSG00000006116	CACNG3	0	0	2	0	0	0	0	0	0
ENSG00000006118	TMEM132A	1936	1905	3310	2729	1501	1440	1930	2320	1797
ENSG00000006125	AP2B1	9256	8521	3020	1914	11611	11154	2884	3612	3353
ENSG00000006128	TAC1	0	0	0	0	0	0	0	0	0
ENSG00000006194	ZNF263	1084	884	849	785	579	443	488	614	580
ENSG00000006210	CX3CL1	4	9	4378	3568	401	181	2	1	0
ENSG00000006282	SPATA20	500	527	245	182	1751	1568	659	783	690
ENSG00000006283	CACNA1G	7	15	0	1	1	1	44	61	37
ENSG00000006327	TNFRSF12A	2483	1427	2346	2377	2995	2071	1962	2177	1783
ENSG00000006377	DLX6	4	5	0	0	0	2	0	0	0
ENSG00000006432	MAP3K9	88	118	2113	2276	1950	2163	362	432	399
ENSG00000006451	RALA	1484	1199	1718	1487	2036	2007	1166	1327	1279
ENSG00000006453	BAIAP2L1	619	603	3738	3166	2232	2128	1042	1201	1055
ENSG00000006459	KDM7A	307	279	443	337	199	244	159	219	227
ENSG00000006468	ETV1	79	198	4	3	412	281	88	98	106
ENSG00000006530	AGK	1524	1151	911	715	474	352	277	349	300
ENSG00000006534	ALDH3B1	226	298	419	329	159	133	1495	1831	1488
ENSG00000006555	TTC22	1	0	976	876	296	205	0	0	0
ENSG00000006576	PHTF2	1699	1516	1496	1234	852	724	514	638	579
ENSG00000006606	CCL26	0	1	1	0	0	2	21	18	28
ENSG00000006607	FARP2	1061	832	1092	894	1082	1117	385	492	472
ENSG00000006611	USH1C	0	0	0	0	0	0	0	0	0
ENSG00000006625	GGCT	808	718	3582	2749	916	540	1405	1593	1473
ENSG00000006634	DBF4	1425	1266	1512	1381	622	359	607	675	695
ENSG00000006638	TBXA2R	181	204	9	6	10	8	134	151	101
ENSG00000006652	IFRD1	2452	2046	3445	3079	718	529	1650	1873	1899
ENSG00000006659	LGALS14	0	0	0	0	0	0	0	0	0
ENSG00000006695	COX10	630	602	353	258	369	334	317	384	360
ENSG00000006704	GTF2IRD1	737	823	748	646	459	378	1365	1600	1401
ENSG00000006712	PAF1	1113	1034	1480	1326	1225	1008	1056	1209	1006
ENSG00000006715	VPS41	1531	1427	1988	1927	1384	1255	462	506	504
ENSG00000006740	ARHGAP44	757	809	280	211	6	4	114	139	121
ENSG00000006744	ELAC2	4892	4473	1225	1057	2704	2285	2114	2672	2275
ENSG00000006747	SCIN	1	0	1508	1160	0	1	2	8	4
ENSG00000006756	ARSD	554	553	1792	1420	190	275	55	86	68
ENSG00000006757	PNPLA4	63	59	35	20	328	205	212	291	265
ENSG00000006788	MYH13	0	0	0	0	0	0	0	0	0
ENSG00000006831	ADIPOR2	2190	1999	2332	1997	2681	2514	1877	2159	2188
ENSG00000006837	CDKL3	37	30	9	11	11	11	16	10	10
ENSG00000007001	UPP2	1	0	1	1	0	0	0	0	0
ENSG00000007038	PRSS21	0	0	0	0	69	45	1055	1268	1104
ENSG00000007047	MARK4	534	632	1280	1174	933	1104	169	218	194
ENSG00000007062	PROM1	4	2	2986	2644	12	3	1	0	0
ENSG00000007080	CCDC124	998	948	1910	1627	1321	1084	1626	1934	1701
ENSG00000007129	CEACAM21	0	0	0	0	0	0	0	0	0
ENSG00000007168	PAFAH1B1	6146	5327	3244	2907	5496	5023	1627	1931	1826
ENSG00000007171	NOS2	0	7	0	0	0	0	0	0	0
ENSG00000007174	DNAH9	0	0	0	0	1	4	0	0	0
ENSG00000007202	KIAA0100	5056	4440	5405	4473	6733	7030	3821	4973	4266
ENSG00000007216	SLC13A2	0	0	0	0	1	0	0	0	0
ENSG00000007237	GAS7	1	1	1	0	8	2	14	23	29
ENSG00000007255	TRAPPC6A	55	61	311	297	75	36	48	69	75
ENSG00000007264	MATK	13	14	0	0	0	1	380	484	403
ENSG00000007306	CEACAM7	0	0	1	0	0	0	0	0	0
ENSG00000007312	CD79B	1	4	1	0	8	7	0	0	0
ENSG00000007314	SCN4A	0	0	0	0	0	0	7	7	11
ENSG00000007341	ST7L	349	329	349	317	216	195	241	330	302
ENSG00000007350	TKTL1	0	0	0	0	0	0	0	0	0
ENSG00000007372	PAX6	425	524	213	186	5	3	92	119	116
ENSG00000007376	RPUSD1	1340	957	1312	1110	692	558	737	974	718
ENSG00000007384	RHBDF1	575	557	1607	1401	811	851	316	395	311
ENSG00000007392	LUC7L	742	614	499	493	708	560	569	749	689
ENSG00000007402	CACNA2D2	2	3	0	0	1	3	6	3	4
ENSG00000007516	BAIAP3	44	36	33	40	36	37	12	11	19
ENSG00000007520	TSR3	1211	932	1842	1530	1294	932	840	997	805
ENSG00000007541	PIGQ	1093	1016	1842	1642	902	852	622	763	620
ENSG00000007545	CRAMP1L	1094	1041	1706	1490	709	702	587	732	587
ENSG00000007866	TEAD3	200	204	1322	1072	593	725	416	574	430
ENSG00000007908	SELE	0	0	3	1	0	0	0	0	0
ENSG00000007923	DNAJC11	4496	3664	2353	2085	1964	1657	2407	3025	2532
ENSG00000007933	FMO3	0	0	0	0	0	0	0	0	0
ENSG00000007944	MYLIP	50	65	869	696	20	19	285	349	273
ENSG00000007952	NOX1	0	0	0	0	0	0	0	0	1
ENSG00000007968	E2F2	486	602	5781	4927	46	27	766	883	796
ENSG00000008018	PSMB1	2261	2174	2224	1654	3063	2014	2347	2482	2558
ENSG00000008056	SYN1	58	92	0	0	8	3	4	1	1
ENSG00000008083	JARID2	582	637	651	608	1322	1411	643	769	679
ENSG00000008086	CDKL5	37	56	40	40	64	125	32	54	43
ENSG00000008118	CAMK1G	0	0	0	0	0	0	0	0	0
ENSG00000008128	CDK11A	1602	1667	1116	1099	684	556	835	1013	949
ENSG00000008130	NADK	2231	2521	3940	3295	1424	1151	3091	3616	3108
ENSG00000008196	TFAP2B	4	5	0	1	117	79	0	0	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	0	0	5	6	1	0	0	0	4
ENSG00000008256	CYTH3	633	505	1073	1032	1278	1282	818	1010	893
ENSG00000008277	ADAM22	33	62	0	5	3	3	115	155	134
ENSG00000008282	SYPL1	2524	2294	4347	3581	4619	3554	936	1074	1185
ENSG00000008283	CYB561	1008	970	2875	2345	1535	1253	1154	1444	1280
ENSG00000008294	SPAG9	3516	2957	2458	2061	3140	3193	1078	1423	1299
ENSG00000008300	CELSR3	896	986	63	44	34	78	1059	1348	1088
ENSG00000008311	AASS	75	95	1	1	223	178	0	0	0
ENSG00000008323	PLEKHG6	1	2	976	742	87	75	30	34	17
ENSG00000008324	SS18L2	390	356	199	137	286	159	217	266	262
ENSG00000008382	MPND	102	103	110	73	114	85	69	105	90
ENSG00000008394	MGST1	1225	1483	7571	5741	5926	3960	2172	2546	2523
ENSG00000008405	CRY1	419	323	614	470	397	347	553	618	593
ENSG00000008438	PGLYRP1	0	0	0	0	0	0	0	0	0
ENSG00000008441	NFIX	5537	6991	4457	3483	2203	2582	21	25	21
ENSG00000008513	ST3GAL1	634	563	1347	1205	630	620	516	594	530
ENSG00000008516	MMP25	9	10	12	16	11	17	9	2	3
ENSG00000008517	IL32	340	178	60	43	127	163	793	904	792
ENSG00000008710	PKD1	4396	4734	5932	5732	2366	2615	1274	1635	1269
ENSG00000008735	MAPK8IP2	253	321	166	125	35	30	55	74	61
ENSG00000008838	MED24	1275	1195	1677	1358	2079	1922	1155	1320	1058
ENSG00000008853	RHOBTB2	3110	2535	88	79	912	859	691	860	745
ENSG00000008869	HEATR5B	617	639	1092	1044	933	935	458	596	609
ENSG00000008952	SEC62	2027	1749	2881	2589	3247	2433	2233	2717	2726
ENSG00000008988	RPS20	18709	16896	8226	7312	10329	6410	6076	7030	6631
ENSG00000009307	CSDE1	5846	5391	35360	31255	13171	12905	9638	11926	10963
ENSG00000009335	UBE3C	4318	3462	5821	4730	5399	5312	2521	3189	2842
ENSG00000009413	REV3L	1424	1356	1034	927	1149	1023	697	891	732
ENSG00000009694	TENM1	4	6	11	5	1	0	0	0	0
ENSG00000009709	PAX7	0	0	0	0	0	0	0	0	0
ENSG00000009724	MASP2	2	2	0	1	6	2	11	19	12
ENSG00000009765	IYD	0	0	0	0	0	0	0	0	0
ENSG00000009780	FAM76A	270	305	430	406	328	282	64	89	84
ENSG00000009790	TRAF3IP3	0	0	0	1	2	0	19	24	15
ENSG00000009830	POMT2	630	545	668	560	898	774	636	717	705
ENSG00000009844	VTA1	2697	2176	1222	1034	1616	1364	749	894	896
ENSG00000009950	MLXIPL	1	4	7	3	3	4	324	384	363
ENSG00000009954	BAZ1B	6042	5215	7017	6059	3036	2628	2870	3625	3459
ENSG00000010017	RANBP9	1498	1351	1700	1455	1048	921	956	1085	1011
ENSG00000010030	ETV7	8	25	11	10	23	10	0	0	0
ENSG00000010072	SPRTN	460	371	467	453	506	422	427	554	497
ENSG00000010165	METTL13	1568	1298	1724	1404	1074	855	1479	1679	1400
ENSG00000010219	DYRK4	200	167	5	3	353	245	135	158	122
ENSG00000010244	ZNF207	4443	3779	3802	3458	4423	3594	3451	4163	3990
ENSG00000010256	UQCRC1	3256	3165	2877	2293	6342	4231	5820	6860	5855
ENSG00000010270	STARD3NL	1282	1035	1075	807	729	615	370	441	449
ENSG00000010278	CD9	3255	3025	8009	7462	6863	5253	1468	1731	1632
ENSG00000010282	HHATL	1	0	0	0	0	0	0	0	0
ENSG00000010292	NCAPD2	6323	5569	3966	3588	3735	2349	3425	4284	3714
ENSG00000010295	IFFO1	4	6	2	3	77	73	8	0	3
ENSG00000010310	GIPR	0	1	20	26	7	24	10	21	14
ENSG00000010318	PHF7	111	148	68	58	83	56	20	23	25
ENSG00000010319	SEMA3G	0	0	5	5	18	12	3	10	9
ENSG00000010322	NISCH	1397	1701	1583	1508	2258	2463	867	1146	868
ENSG00000010327	STAB1	1	1	0	1	1	1	0	4	1
ENSG00000010361	FUZ	138	204	150	133	130	84	3	1	5
ENSG00000010379	SLC6A13	0	0	0	1	0	4	13	15	13
ENSG00000010404	IDS	3141	3101	2893	2441	3059	3530	368	440	407
ENSG00000010438	PRSS3	0	1	76	107	533	354	0	0	0
ENSG00000010539	ZNF200	346	293	415	375	261	164	205	237	224
ENSG00000010610	CD4	0	0	2	0	24	28	1	1	1
ENSG00000010626	LRRC23	62	58	38	32	40	26	51	38	46
ENSG00000010671	BTK	1	1	0	1	0	0	0	1	0
ENSG00000010704	HFE	172	246	398	286	405	300	290	413	355
ENSG00000010803	SCMH1	1026	1049	1634	1207	600	546	585	834	673
ENSG00000010810	FYN	100	144	1	1	802	961	0	1	0
ENSG00000010818	HIVEP2	1597	1375	915	779	1291	1581	398	473	394
ENSG00000010932	FMO1	1	8	0	0	0	0	0	0	0
ENSG00000011007	TCEB3	3509	2963	3435	3059	1958	1662	1455	1710	1663
ENSG00000011009	LYPLA2	1862	1663	3254	2749	2165	1765	1364	1629	1284
ENSG00000011021	CLCN6	976	1095	511	432	506	571	452	604	520
ENSG00000011028	MRC2	2522	2808	90	69	8526	7643	5875	7045	5941
ENSG00000011052	NME2	60	45	53	61	105	71	273	317	293
ENSG00000011083	SLC6A7	0	0	1	0	0	1	6	0	6
ENSG00000011105	TSPAN9	1051	1077	927	686	1036	890	33	47	35
ENSG00000011114	BTBD7	1116	842	1990	1925	1964	2287	499	709	677
ENSG00000011132	APBA3	403	437	133	124	320	282	232	260	231
ENSG00000011143	MKS1	126	147	204	179	279	180	273	307	294
ENSG00000011198	ABHD5	293	238	621	456	477	378	392	410	425
ENSG00000011201	KAL1	20	14	0	0	309	283	0	0	0
ENSG00000011243	AKAP8L	941	934	1447	1231	818	824	1101	1339	1222
ENSG00000011258	MBTD1	296	315	462	459	287	196	512	596	638
ENSG00000011260	UTP18	1311	895	675	576	1149	709	1367	1674	1540
ENSG00000011275	RNF216	2140	1841	1893	1506	869	846	761	974	862
ENSG00000011295	TTC19	1177	1134	492	466	1194	935	443	501	470
ENSG00000011304	PTBP1	9198	7992	9931	8087	8228	6522	9851	12239	10021
ENSG00000011332	DPF1	280	246	3	1	82	61	55	76	66
ENSG00000011347	SYT7	9	23	2092	1619	69	103	37	61	52
ENSG00000011376	LARS2	1105	964	502	369	1054	948	958	1149	939
ENSG00000011405	PIK3C2A	1435	1221	1168	1044	2571	2437	813	1146	1062
ENSG00000011422	PLAUR	1895	1912	1313	1165	1028	772	663	710	685
ENSG00000011426	ANLN	14750	9762	10550	10128	7629	4342	2287	2841	2744
ENSG00000011451	WIZ	1775	1657	2991	2535	1469	1710	1556	1734	1573
ENSG00000011454	RABGAP1	1791	1687	2233	2059	1164	1206	924	1075	1038
ENSG00000011465	DCN	3	9	0	0	0	2	211	233	247
ENSG00000011478	QPCTL	547	629	167	152	374	276	433	474	348
ENSG00000011485	PPP5C	1800	1630	2293	1956	1574	1283	1800	2148	1835
ENSG00000011523	CEP68	247	213	434	348	215	204	148	208	176
ENSG00000011566	MAP4K3	337	326	1044	948	802	731	674	803	850
ENSG00000011590	ZBTB32	0	0	0	2	0	0	3	3	2
ENSG00000011600	TYROBP	0	0	0	0	0	0	0	0	0
ENSG00000011638	TMEM159	316	405	1183	959	526	424	77	82	71
ENSG00000011677	GABRA3	0	0	0	1	0	0	0	0	0
ENSG00000012048	BRCA1	1661	1402	1465	1229	950	588	920	1098	1099
ENSG00000012061	ERCC1	939	1043	1448	1221	2709	2005	618	678	608
ENSG00000012124	CD22	0	0	11	10	6	0	27	49	31
ENSG00000012171	SEMA3B	7	30	179	153	118	95	1967	2163	1763
ENSG00000012174	MBTPS2	1645	1421	782	669	704	629	533	674	619
ENSG00000012211	PRICKLE3	607	790	207	156	419	489	222	284	219
ENSG00000012223	LTF	14	17	9	2	0	0	1	1	2
ENSG00000012232	EXTL3	2012	1841	826	727	3433	3216	395	561	442
ENSG00000012504	NR1H4	0	0	12	2	0	0	0	0	0
ENSG00000012660	ELOVL5	7541	7435	4944	3492	2683	2534	1877	2395	2287
ENSG00000012779	ALOX5	0	2	84	62	0	0	9	3	0
ENSG00000012817	KDM5D	0	0	0	0	0	0	0	0	0
ENSG00000012822	CALCOCO1	623	800	461	473	670	846	950	1127	942
ENSG00000012963	UBR7	1420	1105	1945	1437	876	623	994	1134	1067
ENSG00000012983	MAP4K5	1550	1403	2152	1918	1828	1791	817	1072	1014
ENSG00000013016	EHD3	177	179	107	84	1199	1088	0	0	0
ENSG00000013275	PSMC4	2295	2093	2462	1875	1974	1367	1502	1764	1516
ENSG00000013288	MAN2B2	1168	1464	1431	1370	1097	1214	312	420	321
ENSG00000013293	SLC7A14	1	1	0	0	0	2	0	0	0
ENSG00000013297	CLDN11	185	165	1	0	223	119	7	8	9
ENSG00000013306	SLC25A39	2752	2724	4633	3684	3947	3277	2868	3359	2983
ENSG00000013364	MVP	5502	5691	7907	5742	5365	5635	1186	1520	1220
ENSG00000013374	NUB1	886	1052	1774	1659	1145	1064	2180	2724	2448
ENSG00000013375	PGM3	3168	2703	939	764	1326	1314	550	628	648
ENSG00000013392	RWDD2A	206	202	37	32	32	30	79	114	107
ENSG00000013441	CLK1	563	499	471	503	730	404	639	764	803
ENSG00000013503	POLR3B	436	294	706	603	613	392	451	609	546
ENSG00000013523	ANGEL1	347	305	802	625	453	443	383	434	454
ENSG00000013561	RNF14	1985	1816	996	796	1516	1352	542	690	658
ENSG00000013563	DNASE1L1	265	338	1745	1523	538	733	257	265	226
ENSG00000013573	DDX11	1573	1488	2048	1821	673	497	2311	2776	2524
ENSG00000013583	HEBP1	523	498	1095	912	548	454	473	568	585
ENSG00000013588	GPRC5A	2229	1691	8869	8253	2199	2783	4787	5894	5352
ENSG00000013619	MAMLD1	1114	1094	628	573	231	202	189	238	199
ENSG00000013725	CD6	0	1	63	61	1	0	0	0	0
ENSG00000013810	TACC3	3913	3623	2959	2793	1939	984	2356	2750	2418
ENSG00000014123	UFL1	810	899	1012	798	1060	1099	422	543	552
ENSG00000014138	POLA2	1656	1346	1293	921	673	358	1184	1440	1387
ENSG00000014164	ZC3H3	1303	1432	988	859	434	524	407	478	425
ENSG00000014216	CAPN1	3550	3499	8662	6836	10163	9157	1306	1675	1356
ENSG00000014257	ACPP	0	1	211	238	5	5	7	20	15
ENSG00000014641	MDH1	2425	2244	3039	2449	3490	2201	2481	2731	2718
ENSG00000014824	SLC30A9	1515	1428	1485	1237	1771	1532	783	975	933
ENSG00000014914	MTMR11	356	616	490	368	296	315	58	51	70
ENSG00000014919	COX15	1957	2017	784	645	609	526	655	830	771
ENSG00000015133	CCDC88C	528	376	1120	1040	123	125	679	859	783
ENSG00000015153	YAF2	363	303	177	155	334	252	429	498	452
ENSG00000015171	ZMYND11	2382	1824	6647	5325	1586	1385	568	653	656
ENSG00000015285	WAS	6	5	0	2	2	3	2	6	5
ENSG00000015413	DPEP1	2	6	0	0	0	0	2	2	5
ENSG00000015475	BID	1010	908	1628	1337	323	203	681	728	693
ENSG00000015479	MATR3	9366	7972	6240	5115	6721	5247	6577	7613	7594
ENSG00000015520	NPC1L1	2	3	2	4	0	0	1	2	1
ENSG00000015532	XYLT2	621	602	526	498	1283	1382	315	439	359
ENSG00000015568	RGPD5	189	33	46	477	46	53	25	826	810
ENSG00000015592	STMN4	1	0	0	0	0	0	0	0	0
ENSG00000015676	NUDCD3	2795	2596	3432	2894	2647	2135	1088	1261	1105
ENSG00000016082	ISL1	1	4	7	6	0	0	0	0	0
ENSG00000016391	CHDH	10	9	591	487	73	32	170	218	189
ENSG00000016402	IL20RA	0	0	337	258	0	0	0	0	0
ENSG00000016490	CLCA1	0	0	0	0	0	0	0	0	0
ENSG00000016602	CLCA4	0	0	1	3	64	11	0	0	0
ENSG00000016864	GLT8D1	1549	1528	458	489	1070	928	459	563	520
ENSG00000017260	ATP2C1	2926	2526	10451	8763	5413	5003	1382	1575	1487
ENSG00000017373	SRCIN1	8	20	356	284	20	25	103	126	125
ENSG00000017427	IGF1	0	0	0	3	0	0	10	9	11
ENSG00000017483	SLC38A5	11	11	3	1	628	626	907	1128	923
ENSG00000017621	MAGIX	19	16	32	32	38	30	23	30	18
ENSG00000017797	RALBP1	4420	3974	2906	2606	3206	2822	1335	1552	1419
ENSG00000018189	RUFY3	366	260	467	365	578	510	111	130	118
ENSG00000018236	CNTN1	0	0	0	1	3086	2199	0	0	0
ENSG00000018280	SLC11A1	0	2	2	2	8	2	12	17	11
ENSG00000018408	WWTR1	2353	2888	5509	4618	2237	1669	728	987	864
ENSG00000018510	AGPS	828	709	1749	1720	2871	2645	1897	2456	2338
