"","HMECchr","HMECstart","HMECend","HMECEV","HMECcompartment","TNBCchr","TNBCstart","TNBCend","TNBCEV","TNBCcompartment","D.EV","compartment","sample_maha","padj"
"16","chr1",1700000,1800000,43.37598,"A","chr1",1700000,1800000,49.999194,"A",6.623214,"AA",0.0682928158747256,1
"17","chr1",1800000,1900000,43.72063,"A","chr1",1800000,1900000,40.537672,"A",-3.182958,"AA",1.18903130451077e-05,1
"18","chr1",1900000,2000000,38.055695,"A","chr1",1900000,2000000,31.05628,"A",-6.999415,"AA",0.00011583294823652,1
"19","chr1",2000000,2100000,36.865285,"A","chr1",2000000,2100000,33.029296,"A",-3.835989,"AA",2.61769202267502e-07,1
"20","chr1",2100000,2200000,34.852765,"A","chr1",2100000,2200000,40.080666,"A",5.227901,"AA",0.0521647193224064,1
"21","chr1",2200000,2300000,21.72882,"A","chr1",2200000,2300000,27.970536,"A",6.241716,"AA",0.121530649143019,1
"22","chr1",2300000,2400000,23.78069,"A","chr1",2300000,2400000,22.404488,"A",-1.376202,"AA",0.00369092696654252,1
"23","chr1",2400000,2500000,22.73794,"A","chr1",2400000,2500000,25.300426,"A",2.562486,"AA",0.0303196314836701,1
"24","chr1",2500000,2600000,-3.247155,"B","chr1",2500000,2600000,0.3913,"A",3.638455,"BA",0.0349541442684629,1
"25","chr1",2600000,2700000,-6.516015,"B","chr1",2600000,2700000,-11.022318,"B",-4.506303,"BB",8.13578383771088e-05,1
"26","chr1",2700000,2800000,-17.35289,"B","chr1",2700000,2800000,-17.317336,"B",0.0355539999999976,"BB",5.3570097565176e-08,1
"27","chr1",2800000,2900000,-11.668155,"B","chr1",2800000,2900000,-16.357738,"B",-4.689583,"BB",6.14202200923555e-06,1
"28","chr1",2900000,3000000,-17.478895,"B","chr1",2900000,3000000,-17.167698,"B",0.311197,"BB",1.40819379873496e-05,1
"29","chr1",3000000,3100000,-19.43594,"B","chr1",3000000,3100000,-14.505992,"B",4.929948,"BB",0.0111280276518466,1
"30","chr1",3100000,3200000,-21.319435,"B","chr1",3100000,3200000,-12.206852,"B",9.112583,"BB",0.102675524708866,1
"31","chr1",3200000,3300000,-15.00718,"B","chr1",3200000,3300000,-4.881642,"B",10.125538,"BB",0.291970328394819,1
"32","chr1",3300000,3400000,3.70885,"A","chr1",3300000,3400000,10.697062,"A",6.988212,"AA",0.252520000248013,1
"33","chr1",3400000,3500000,12.00519,"A","chr1",3400000,3500000,20.735622,"A",8.730432,"AA",0.427115555754626,1
"34","chr1",3500000,3600000,18.746335,"A","chr1",3500000,3600000,20.853194,"A",2.106859,"AA",0.0494269217451152,1
"35","chr1",3600000,3700000,21.86782,"A","chr1",3600000,3700000,12.94338,"A",-8.92444,"AA",1.62928252000984e-06,1
"36","chr1",3700000,3800000,2.524995,"A","chr1",3700000,3800000,8.134382,"A",5.609387,"AA",0.105466184270807,1
"37","chr1",3800000,3900000,-8.864355,"B","chr1",3800000,3900000,-6.522572,"B",2.341783,"BB",0.00012365623190682,1
"38","chr1",3900000,4000000,-7.36629,"B","chr1",3900000,4000000,-13.12706,"B",-5.76077,"BB",0.0182415607416959,1
"39","chr1",4000000,4100000,-40.666,"B","chr1",4000000,4100000,-34.547366,"B",6.118634,"BB",8.37616649482998e-08,1
"40","chr1",4100000,4200000,-39.59818,"B","chr1",4100000,4200000,-33.348464,"B",6.249716,"BB",4.24785272993547e-07,1
"41","chr1",4200000,4300000,-43.1815,"B","chr1",4200000,4300000,-39.863388,"B",3.318112,"BB",0.00098237558738142,1
"42","chr1",4300000,4400000,-40.38531,"B","chr1",4300000,4400000,-35.100048,"B",5.285262,"BB",5.99400022829194e-06,1
"43","chr1",4400000,4500000,-39.5179,"B","chr1",4400000,4500000,-37.428054,"B",2.08984599999999,"BB",0.00196066242143335,1
"44","chr1",4500000,4600000,-41.88182,"B","chr1",4500000,4600000,-35.408704,"B",6.473116,"BB",5.11307535510359e-08,1
"45","chr1",4600000,4700000,-40.02861,"B","chr1",4600000,4700000,-36.199394,"B",3.829216,"BB",0.00014488278769571,1
"46","chr1",4700000,4800000,-28.42359,"B","chr1",4700000,4800000,-33.508918,"B",-5.085328,"BB",0.0301225997193431,1
"47","chr1",4800000,4900000,-34.57458,"B","chr1",4800000,4900000,-38.153076,"B",-3.578496,"BB",0.0329023398422607,1
"48","chr1",4900000,5000000,-40.68327,"B","chr1",4900000,5000000,-36.456916,"B",4.226354,"BB",8.24057823421757e-05,1
"49","chr1",5000000,5100000,-44.070645,"B","chr1",5000000,5100000,-39.25088,"B",4.819765,"BB",0.00031403281336022,1
"50","chr1",5100000,5200000,-43.795875,"B","chr1",5100000,5200000,-41.58105,"B",2.214825,"BB",0.00433637889535599,1
"51","chr1",5200000,5300000,-35.2126,"B","chr1",5200000,5300000,-40.663866,"B",-5.451266,"BB",0.102658808726279,1
"52","chr1",5300000,5400000,-41.057625,"B","chr1",5300000,5400000,-39.191486,"B",1.866139,"BB",0.00145153564485309,1
"53","chr1",5400000,5500000,-41.0436,"B","chr1",5400000,5500000,-37.385672,"B",3.657928,"BB",0.00023805461317949,1
"54","chr1",5500000,5600000,-37.458205,"B","chr1",5500000,5600000,-33.78402,"B",3.674185,"BB",0.0001905336367563,1
"55","chr1",5600000,5700000,-48.936995,"B","chr1",5600000,5700000,-37.386838,"B",11.550157,"BB",0.00066339516882167,1
"56","chr1",5700000,5800000,-38.737495,"B","chr1",5700000,5800000,-36.141764,"B",2.595731,"BB",0.00074217318938554,1
"57","chr1",5800000,5900000,-31.594895,"B","chr1",5800000,5900000,-29.692614,"B",1.902281,"BB",3.70998536768911e-08,1
"58","chr1",5900000,6000000,-23.64545,"B","chr1",5900000,6000000,-9.800934,"B",13.844516,"BB",0.160954089551188,1
"59","chr1",6000000,6100000,-5.938715,"B","chr1",6000000,6100000,14.360876,"A",20.299591,"BA",2.46862851419212,0.925154545029099
"60","chr1",6100000,6200000,10.282525,"A","chr1",6100000,6200000,25.748736,"A",15.466211,"AA",1.21968940147488,1
"61","chr1",6200000,6300000,18.895735,"A","chr1",6200000,6300000,39.874608,"A",20.978873,"AA",4.01890451613478,0.482157162972571
"62","chr1",6300000,6400000,26.01961,"A","chr1",6300000,6400000,34.324328,"A",8.304718,"AA",0.208433650138011,1
"63","chr1",6400000,6500000,35.617715,"A","chr1",6400000,6500000,48.969378,"A",13.351663,"AA",0.758059176956516,1
"64","chr1",6500000,6600000,43.19465,"A","chr1",6500000,6600000,44.17402,"A",0.979369999999996,"AA",0.00068363845058147,1
"65","chr1",6600000,6700000,44.30645,"A","chr1",6600000,6700000,45.267022,"A",0.960571999999999,"AA",0.00042309429056005,1
"66","chr1",6700000,6800000,36.688015,"A","chr1",6700000,6800000,32.27204,"A",-4.415975,"AA",6.03976064521702e-06,1
"67","chr1",6800000,6900000,36.36756,"A","chr1",6800000,6900000,30.469778,"A",-5.897782,"AA",9.66143585976919e-07,1
"68","chr1",6900000,7000000,31.94284,"A","chr1",6900000,7000000,25.159152,"A",-6.783688,"AA",2.67944950410176e-08,1
"69","chr1",7000000,7100000,30.138375,"A","chr1",7000000,7100000,4.00389,"A",-26.134485,"AA",0.17526059747663,1
"70","chr1",7100000,7200000,26.415295,"A","chr1",7100000,7200000,2.74351,"A",-23.671785,"AA",0.0631350327954203,1
"71","chr1",7200000,7300000,21.568985,"A","chr1",7200000,7300000,1.390002,"A",-20.178983,"AA",0.00627939678432456,1
"72","chr1",7300000,7400000,29.059335,"A","chr1",7300000,7400000,5.47925,"A",-23.580085,"AA",0.0407752399537576,1
"73","chr1",7400000,7500000,26.85314,"A","chr1",7400000,7500000,10.675064,"A",-16.178076,"AA",0.00218075700205663,1
"74","chr1",7500000,7600000,21.161865,"A","chr1",7500000,7600000,9.427434,"A",-11.734431,"AA",8.24645542089978e-07,1
"75","chr1",7600000,7700000,25.2314,"A","chr1",7600000,7700000,3.548536,"A",-21.682864,"AA",0.0190067812869842,1
"76","chr1",7700000,7800000,28.05962,"A","chr1",7700000,7800000,9.812584,"A",-18.247036,"AA",0.00756030483458868,1
"77","chr1",7800000,7900000,37.426145,"A","chr1",7800000,7900000,26.721738,"A",-10.704407,"AA",0.0027582981323669,1
"78","chr1",7900000,8000000,35.11604,"A","chr1",7900000,8000000,21.039474,"A",-14.076566,"AA",0.00553522670978745,1
"79","chr1",8000000,8100000,42.79325,"A","chr1",8000000,8100000,36.49076,"A",-6.30249,"AA",0.00062595186332182,1
"80","chr1",8100000,8200000,50.206425,"A","chr1",8100000,8200000,52.110068,"A",1.903643,"AA",0.00071146341577061,1
"81","chr1",8200000,8300000,47.93822,"A","chr1",8200000,8300000,48.784124,"A",0.845903999999997,"AA",0.00035358128643262,1
"82","chr1",8300000,8400000,36.019555,"A","chr1",8300000,8400000,39.27115,"A",3.251595,"AA",0.0182218641018138,1
"83","chr1",8400000,8500000,39.812325,"A","chr1",8400000,8500000,40.713746,"A",0.901420999999999,"AA",0.00298538249584233,1
"84","chr1",8500000,8600000,44.102105,"A","chr1",8500000,8600000,42.43217,"A",-1.669935,"AA",4.36359554845953e-05,1
"85","chr1",8600000,8700000,44.792905,"A","chr1",8600000,8700000,45.659196,"A",0.866291000000004,"AA",0.00109552680365676,1
"86","chr1",8700000,8800000,47.753715,"A","chr1",8700000,8800000,45.29653,"A",-2.457185,"AA",3.61783704032429e-08,1
"87","chr1",8800000,8900000,47.91771,"A","chr1",8800000,8900000,44.149416,"A",-3.768294,"AA",0.00010431593542968,1
"88","chr1",8900000,9000000,48.860025,"A","chr1",8900000,9000000,46.459274,"A",-2.400751,"AA",2.86908823111871e-05,1
"89","chr1",9000000,9100000,45.46719,"A","chr1",9000000,9100000,38.189892,"A",-7.277298,"AA",0.00277066793480594,1
"90","chr1",9100000,9200000,43.607085,"A","chr1",9100000,9200000,41.352022,"A",-2.255063,"AA",2.82702058976642e-06,1
"91","chr1",9200000,9300000,51.98912,"A","chr1",9200000,9300000,45.522254,"A",-6.466866,"AA",0.00663524717442501,1
"92","chr1",9300000,9400000,47.2014,"A","chr1",9300000,9400000,45.944372,"A",-1.257028,"AA",1.43037505168588e-06,1
"93","chr1",9400000,9500000,39.947915,"A","chr1",9400000,9500000,42.266772,"A",2.318857,"AA",0.00952690537668249,1
"94","chr1",9500000,9600000,43.339135,"A","chr1",9500000,9600000,39.880346,"A",-3.458789,"AA",1.62330446306401e-06,1
"95","chr1",9600000,9700000,45.357525,"A","chr1",9600000,9700000,41.694322,"A",-3.663203,"AA",2.65969314105681e-05,1
"96","chr1",9700000,9800000,46.055045,"A","chr1",9700000,9800000,43.39063,"A",-2.664415,"AA",1.18820113142188e-05,1
"97","chr1",9800000,9900000,49.002845,"A","chr1",9800000,9900000,45.19552,"A",-3.807325,"AA",0.0001498644949009,1
"98","chr1",9900000,10000000,45.694345,"A","chr1",9900000,10000000,46.117686,"A",0.423341000000001,"AA",0.00105754864372253,1
"99","chr1",10000000,10100000,41.76199,"A","chr1",10000000,10100000,41.753606,"A",-0.0083839999999995,"AA",0.00061394398541417,1
"100","chr1",10100000,10200000,48.08172,"A","chr1",10100000,10200000,45.945816,"A",-2.135904,"AA",3.6275201363797e-08,1
"101","chr1",10200000,10300000,43.46333,"A","chr1",10200000,10300000,42.890114,"A",-0.573216000000002,"AA",0.00029643382990209,1
"102","chr1",10300000,10400000,44.68029,"A","chr1",10300000,10400000,44.209368,"A",-0.470922000000002,"AA",0.00014812937338484,1
"103","chr1",10400000,10500000,47.027405,"A","chr1",10400000,10500000,42.830034,"A",-4.197371,"AA",0.00021360882788525,1
"104","chr1",10500000,10600000,46.21684,"A","chr1",10500000,10600000,44.151946,"A",-2.064894,"AA",7.87268671754355e-08,1
"105","chr1",10600000,10700000,45.72347,"A","chr1",10600000,10700000,41.148874,"A",-4.574596,"AA",7.45637603265719e-05,1
"106","chr1",10700000,10800000,42.062565,"A","chr1",10700000,10800000,42.142902,"A",0.0803370000000001,"AA",0.00067843191577864,1
"107","chr1",10800000,10900000,47.788375,"A","chr1",10800000,10900000,47.004428,"A",-0.783947000000005,"AA",4.72323350173957e-05,1
"108","chr1",10900000,11000000,40.433525,"A","chr1",10900000,11000000,38.467092,"A",-1.966433,"AA",9.30642632228796e-05,1
"109","chr1",11000000,11100000,44.19195,"A","chr1",11000000,11100000,39.228914,"A",-4.963036,"AA",0.00022001245139931,1
"110","chr1",11100000,11200000,41.60877,"A","chr1",11100000,11200000,35.749236,"A",-5.859534,"AA",0.0001822924571695,1
"111","chr1",11200000,11300000,35.89863,"A","chr1",11200000,11300000,35.210952,"A",-0.687677999999998,"AA",0.00080512396422766,1
"112","chr1",11300000,11400000,29.200435,"A","chr1",11300000,11400000,23.708628,"A",-5.491807,"AA",2.95750102832375e-05,1
"113","chr1",11400000,11500000,22.112995,"A","chr1",11400000,11500000,3.857398,"A",-18.255597,"AA",0.00418131548119883,1
"114","chr1",11500000,11600000,16.563315,"A","chr1",11500000,11600000,4.739842,"A",-11.823473,"AA",1.68670716137592e-06,1
"115","chr1",11600000,11700000,20.884895,"A","chr1",11600000,11700000,7.56348,"A",-13.321415,"AA",6.1580317129824e-05,1
"116","chr1",11700000,11800000,40.458645,"A","chr1",11700000,11800000,36.00033,"A",-4.458315,"AA",9.59795216636761e-06,1
"117","chr1",11800000,11900000,45.247715,"A","chr1",11800000,11900000,38.759764,"A",-6.487951,"AA",0.00215102262321929,1
"118","chr1",11900000,12000000,39.73817,"A","chr1",11900000,12000000,43.257524,"A",3.519354,"AA",0.0113001691833701,1
"119","chr1",12000000,12100000,36.56471,"A","chr1",12000000,12100000,38.694506,"A",2.129796,"AA",0.00727946424063262,1
"120","chr1",12100000,12200000,27.460335,"A","chr1",12100000,12200000,18.882474,"A",-8.577861,"AA",6.4581833329712e-07,1
"121","chr1",12200000,12300000,13.17714,"A","chr1",12200000,12300000,24.05691,"A",10.87977,"AA",0.572868469557097,1
"122","chr1",12300000,12400000,0.0350800000000002,"A","chr1",12300000,12400000,8.517632,"A",8.482552,"AA",0.147894684537906,1
"123","chr1",12400000,12500000,-4.18921,"B","chr1",12400000,12500000,14.035482,"A",18.224692,"BA",1.3096079474463,1
"124","chr1",12500000,12600000,-11.809675,"B","chr1",12500000,12600000,26.821486,"A",38.631161,"BA",27.1545567435489,6.96960907570465e-06
"125","chr1",12600000,12700000,-9.633445,"B","chr1",12600000,12700000,24.147786,"A",33.781231,"BA",16.6120150422226,0.00145571792270225
"126","chr1",12700000,12800000,-46.038555,"B","chr1",12700000,12800000,-24.76312,"B",21.275435,"BB",0.726306041407824,1
"127","chr1",12800000,12900000,-51.66717,"B","chr1",12800000,12900000,-34.115068,"B",17.552102,"BB",0.117077726093207,1
"128","chr1",12900000,13000000,-40.406745,"B","chr1",12900000,13000000,-32.48224,"B",7.924505,"BB",0.00179482252662393,1
"129","chr1",13000000,13100000,-11.91906,"B","chr1",13000000,13100000,-18.118642,"B",-6.199582,"BB",0.0131940027297333,1
"130","chr1",13100000,13200000,-26.288615,"B","chr1",13100000,13200000,-29.275974,"B",-2.987359,"BB",0.00963510107878876,1
"131","chr1",13200000,13300000,-19.35005,"B","chr1",13200000,13300000,-17.635116,"B",1.714934,"BB",0.00035976722008958,1
"132","chr1",13300000,13400000,-8.160065,"B","chr1",13300000,13400000,-15.158666,"B",-6.998601,"BB",0.0133793382373513,1
"133","chr1",13400000,13500000,-11.69063,"B","chr1",13400000,13500000,-11.726772,"B",-0.0361419999999999,"BB",5.59779378199912e-06,1
"134","chr1",13500000,13600000,-1.68352,"B","chr1",13500000,13600000,-10.853522,"B",-9.170002,"BB",0.0405517046067448,1
"135","chr1",13600000,13700000,0.264205,"A","chr1",13600000,13700000,-14.447126,"B",-14.711331,"AB",0.972338566486935,1
"136","chr1",13700000,13800000,-24.26125,"B","chr1",13700000,13800000,-26.969288,"B",-2.708038,"BB",0.0104249417275206,1
"137","chr1",13800000,13900000,-42.76247,"B","chr1",13800000,13900000,-40.059444,"B",2.703026,"BB",0.00173485026430001,1
"138","chr1",13900000,14000000,-24.641065,"B","chr1",13900000,14000000,-37.22275,"B",-12.581685,"BB",0.498165402978379,1
"139","chr1",14000000,14100000,-27.399645,"B","chr1",14000000,14100000,-16.622608,"B",10.777037,"BB",0.0819300785128958,1
"140","chr1",14100000,14200000,-39.49118,"B","chr1",14100000,14200000,-24.59095,"B",14.90023,"BB",0.0399748222304132,1
"141","chr1",14200000,14300000,-41.72098,"B","chr1",14200000,14300000,-37.216258,"B",4.50472199999999,"BB",0.0001540617019428,1
"142","chr1",14300000,14400000,-46.95734,"B","chr1",14300000,14400000,-37.963292,"B",8.994048,"BB",3.99670815680277e-05,1
"143","chr1",14400000,14500000,-40.456545,"B","chr1",14400000,14500000,-40.73379,"B",-0.277245000000001,"BB",0.0144368384587283,1
"144","chr1",14500000,14600000,-43.755705,"B","chr1",14500000,14600000,-40.030912,"B",3.724793,"BB",0.00159209691540779,1
"145","chr1",14600000,14700000,-42.852735,"B","chr1",14600000,14700000,-39.819844,"B",3.032891,"BB",0.00327188745619106,1
"146","chr1",14700000,14800000,-42.303585,"B","chr1",14700000,14800000,-38.550766,"B",3.752819,"BB",0.0005444099330494,1
"147","chr1",14800000,14900000,-43.311605,"B","chr1",14800000,14900000,-37.934196,"B",5.377409,"BB",1.53698800941697e-09,1
"148","chr1",14900000,15000000,-26.47903,"B","chr1",14900000,15000000,-35.574762,"B",-9.095732,"BB",0.104748875017654,1
"149","chr1",15000000,15100000,-14.907905,"B","chr1",15000000,15100000,-32.471494,"B",-17.563589,"BB",0.79287179434028,1
"150","chr1",15100000,15200000,-21.796435,"B","chr1",15100000,15200000,-30.616352,"B",-8.819917,"BB",0.104543737413537,1
"151","chr1",15200000,15300000,-9.961555,"B","chr1",15200000,15300000,0.23336,"A",10.194915,"BA",0.00151713049729478,1
"152","chr1",15300000,15400000,-14.366685,"B","chr1",15300000,15400000,-6.867672,"B",7.499013,"BB",2.15420281865558e-05,1
"153","chr1",15400000,15500000,0.295815,"A","chr1",15400000,15500000,13.129578,"A",12.833763,"AA",0.176017588980014,1
"154","chr1",15500000,15600000,1.023535,"A","chr1",15500000,15600000,26.265144,"A",25.241609,"AA",5.82081830863197,0.217992211922665
"155","chr1",15600000,15700000,8.503045,"A","chr1",15600000,15700000,19.0762,"A",10.573155,"AA",0.342414781980715,1
"156","chr1",15700000,15800000,20.55005,"A","chr1",15700000,15800000,25.180006,"A",4.629956,"AA",0.0486715133773329,1
"157","chr1",15800000,15900000,31.535025,"A","chr1",15800000,15900000,37.464896,"A",5.929871,"AA",0.0998626579378661,1
"158","chr1",15900000,16000000,43.010645,"A","chr1",15900000,16000000,44.663426,"A",1.652781,"AA",0.00358836862468318,1
"159","chr1",16000000,16100000,43.97768,"A","chr1",16000000,16100000,43.821126,"A",-0.156554,"AA",0.00027653915988283,1
"160","chr1",16100000,16200000,44.22644,"A","chr1",16100000,16200000,50.318962,"A",6.092522,"AA",0.0462155378534747,1
"161","chr1",16200000,16300000,43.15779,"A","chr1",16200000,16300000,46.2039,"A",3.04611,"AA",0.0142894132183788,1
"162","chr1",16300000,16400000,40.20442,"A","chr1",16300000,16400000,41.133802,"A",0.929382000000004,"AA",0.00299567234032782,1
"163","chr1",16400000,16500000,47.45684,"A","chr1",16400000,16500000,46.166306,"A",-1.290534,"AA",3.02245387195877e-07,1
"164","chr1",16500000,16600000,46.59964,"A","chr1",16500000,16600000,44.316888,"A",-2.282752,"AA",4.30675175237996e-06,1
"165","chr1",16600000,16700000,49.776685,"A","chr1",16600000,16700000,43.085638,"A",-6.691047,"AA",0.00411922312563726,1
"166","chr1",16700000,16800000,48.148845,"A","chr1",16700000,16800000,33.305028,"A",-14.843817,"AA",0.153280873337142,1
"167","chr1",16800000,16900000,33.55623,"A","chr1",16800000,16900000,12.280854,"A",-21.275376,"AA",0.13328645258963,1
"168","chr1",16900000,17000000,37.302685,"A","chr1",16900000,17000000,15.82249,"A",-21.480195,"AA",0.174948151475985,1
"169","chr1",17000000,17100000,26.120105,"A","chr1",17000000,17100000,8.92704,"A",-17.193065,"AA",0.0199016595626732,1
"170","chr1",17100000,17200000,18.01053,"A","chr1",17100000,17200000,3.10792,"A",-14.90261,"AA",0.0194876549666863,1
"171","chr1",17200000,17300000,39.23207,"A","chr1",17200000,17300000,22.044314,"A",-17.187756,"AA",0.0631524026606346,1
"172","chr1",17300000,17400000,38.11367,"A","chr1",17300000,17400000,37.955766,"A",-0.157904000000002,"AA",0.00180001669036636,1
"173","chr1",17400000,17500000,28.89543,"A","chr1",17400000,17500000,33.916578,"A",5.021148,"AA",0.0749645623300084,1
"174","chr1",17500000,17600000,36.99262,"A","chr1",17500000,17600000,41.683262,"A",4.690642,"AA",0.0581487469558795,1
"175","chr1",17600000,17700000,34.607585,"A","chr1",17600000,17700000,31.998992,"A",-2.608593,"AA",8.65296209840194e-05,1
"176","chr1",17700000,17800000,29.049645,"A","chr1",17700000,17800000,28.897566,"A",-0.152079000000001,"AA",0.00138059817235159,1
"177","chr1",17800000,17900000,12.818865,"A","chr1",17800000,17900000,31.862552,"A",19.043687,"AA",2.02649636115446,0.782683170926542
"178","chr1",17900000,18000000,3.36295,"A","chr1",17900000,18000000,20.444668,"A",17.081718,"AA",0.62186670416042,1
"179","chr1",18000000,18100000,-18.664335,"B","chr1",18000000,18100000,-3.63196,"B",15.032375,"BB",0.145000795640837,1
"180","chr1",18100000,18200000,-23.248295,"B","chr1",18100000,18200000,-16.993708,"B",6.254587,"BB",0.00017824860005141,1
"181","chr1",18200000,18300000,-25.019065,"B","chr1",18200000,18300000,-20.008314,"B",5.010751,"BB",3.25439068193489e-05,1
"182","chr1",18300000,18400000,-25.936025,"B","chr1",18300000,18400000,-23.555544,"B",2.380481,"BB",0.00014844418760476,1
"183","chr1",18400000,18500000,-23.642085,"B","chr1",18400000,18500000,-17.495084,"B",6.147001,"BB",4.3941437780014e-05,1
"184","chr1",18500000,18600000,-23.49775,"B","chr1",18500000,18600000,-18.305256,"B",5.192494,"BB",4.77383665269894e-05,1
"185","chr1",18600000,18700000,-29.78659,"B","chr1",18600000,18700000,-16.514696,"B",13.271894,"BB",0.0125004216967764,1
"186","chr1",18700000,18800000,-24.563275,"B","chr1",18700000,18800000,-16.005472,"B",8.557803,"BB",0.00013690635231715,1
"187","chr1",18800000,18900000,-26.073235,"B","chr1",18800000,18900000,-12.16495,"B",13.908285,"BB",0.0398014872765157,1
"188","chr1",18900000,19000000,-2.729665,"B","chr1",18900000,19000000,-1.297094,"B",1.432571,"BB",2.91185367433837e-12,1
"189","chr1",19000000,19100000,-10.379005,"B","chr1",19000000,19100000,-11.826578,"B",-1.447573,"BB",3.52737659829999e-05,1
"190","chr1",19100000,19200000,-6.60524,"B","chr1",19100000,19200000,-7.826606,"B",-1.221366,"BB",6.19911533644542e-08,1
"191","chr1",19200000,19300000,30.13528,"A","chr1",19200000,19300000,32.564968,"A",2.429688,"AA",0.0199784454705987,1
"192","chr1",19300000,19400000,33.739685,"A","chr1",19300000,19400000,30.53854,"A",-3.201145,"AA",7.06223554558272e-05,1
"193","chr1",19400000,19500000,38.94648,"A","chr1",19400000,19500000,32.817076,"A",-6.129404,"AA",5.22521424061584e-05,1
"194","chr1",19500000,19600000,49.657885,"A","chr1",19500000,19600000,35.23378,"A",-14.424105,"AA",0.125442298069668,1
"195","chr1",19600000,19700000,45.78476,"A","chr1",19600000,19700000,33.503216,"A",-12.281544,"AA",0.0415240860164997,1
"196","chr1",19700000,19800000,42.981005,"A","chr1",19700000,19800000,36.784514,"A",-6.196491,"AA",0.00027092690880842,1
"197","chr1",19800000,19900000,41.47753,"A","chr1",19800000,19900000,21.219964,"A",-20.257566,"AA",0.296221953244301,1
"198","chr1",19900000,20000000,46.976785,"A","chr1",19900000,20000000,30.470954,"A",-16.505831,"AA",0.16638425991245,1
"199","chr1",20000000,20100000,48.92576,"A","chr1",20000000,20100000,29.085074,"A",-19.840686,"AA",0.629920642380605,1
"200","chr1",20100000,20200000,44.97871,"A","chr1",20100000,20200000,24.717586,"A",-20.261124,"AA",0.922729756788977,1
"201","chr1",20200000,20300000,40.795765,"A","chr1",20200000,20300000,15.701142,"A",-25.094623,"AA",2.76396265357121,0.564382217417465
"202","chr1",20300000,20400000,39.5281,"A","chr1",20300000,20400000,6.613212,"A",-32.914888,"AA",11.1322508138219,0.0125549316240833
"203","chr1",20400000,20500000,39.753135,"A","chr1",20400000,20500000,14.54598,"A",-25.207155,"AA",3.27140546402783,0.41172982945491
"204","chr1",20500000,20600000,39.22567,"A","chr1",20500000,20600000,14.52777,"A",-24.6979,"AA",2.59105360695802,0.608623386320821
"205","chr1",20600000,20700000,38.473585,"A","chr1",20600000,20700000,12.153032,"A",-26.320553,"AA",3.00641939699717,0.506191548143029
"206","chr1",20700000,20800000,44.089145,"A","chr1",20700000,20800000,19.005704,"A",-25.083441,"AA",1.74918191865898,0.884401486670143
"207","chr1",20800000,20900000,43.74819,"A","chr1",20800000,20900000,27.742156,"A",-16.006034,"AA",0.129608181983174,1
"208","chr1",20900000,21000000,46.93447,"A","chr1",20900000,21000000,34.282556,"A",-12.651914,"AA",0.0599659776224308,1
"209","chr1",21000000,21100000,44.332295,"A","chr1",21000000,21100000,35.109842,"A",-9.222453,"AA",0.00659130620481122,1
"210","chr1",21100000,21200000,42.12549,"A","chr1",21100000,21200000,35.622886,"A",-6.502604,"AA",0.00059420602620287,1
"211","chr1",21200000,21300000,42.093745,"A","chr1",21200000,21300000,38.310502,"A",-3.783243,"AA",1.53170232958095e-06,1
"212","chr1",21300000,21400000,45.01787,"A","chr1",21300000,21400000,39.378896,"A",-5.638974,"AA",0.00053539046105308,1
